,Timestamp,Anon,"On a scale from 1 to 10, how do you estimate your programming experience? ","On a scale from 1 to 10, how do you estimate your programming experience compared to your class mates?","On a scale from 1 to 5, how experienced are you with the following programming paradigm: object-oriented?","Rounded to the closest integer, for how many years have you been programming?",What kind of computing device did you use to complete this study? ,Do you have experience in professional software development?,Do you have experience with code refactoring in a professional environment?,Do you have experience with code reviews in a professional environment?,Do you have professional experience providing reviews on others' code through GitHub?,Do you have professional experience receiving feedback from others on your code through GitHub?,"For how many tasks, approximately, did you consult the following resources? [Google search]","For how many tasks, approximately, did you consult the following resources? [Q&A forums (e.g., StackOverflow)]","For how many tasks, approximately, did you consult the following resources? [Generative AI (e.g. ChatGPT)]","For how many tasks, approximately, did you consult the following resources? [Official documentation for APIs]","For how many tasks, approximately, did you consult the following resources? [IDEs (or similar)]",What was difficult about performing the code review in this study?,What was easy about performing the code review in this study?,What would have helped you perform the code review in this study more effectively?,What type of student are you?,What is your major?,"What is/are your minor(s), if any? ",What is your gender identity? (select all that apply)
0,4/22/2024 8:58:30,ncsu108,8,9,5,4,Laptop,"Yes, as an internship or co-op",Yes,Yes,Yes,Yes,none,none,none,none,none,Lengthy functions were hard to read in order to check for consistency in refractoring.,Github made it very easy by highlighting the code changes.,Intentions of changing the code.,Full-time,Computer Science,,Male
1,4/22/2024 8:58:55,ncsu46,8,6,4,4,Laptop,"Yes, as an internship or co-op",Yes,Yes,Yes,Yes,none,none,none,a few,none,Lack of comments,Most files only had 1 or 2 changes,Maybe had another person reviewing it with me to catch mistakes I may of made reviewing,Full-time,Computer Science,,Male
2,4/22/2024 9:02:59,ncsu66,6,6,4,2,Phone / Mobile,No,No,No,No,No,none,none,none,none,none,Nothing,Nothing it was fine,Nothing ,Full-time,Computer Science and Economics,Na,Male
3,4/22/2024 9:03:33,ncsu124,7,5,4,3,Laptop,No,No,No,No,No,none,none,none,none,none,"I'm really tired right now, I stayed up too late last night. So i don't think i have the ability to fully think through some of the changes.","Most of the changes were simple math changes so I don't think I needed to consult google or any other sources, or at least I didn't feel like I needed to but depends how well I did.",Being able to run tests on what i suspect might be values that result in a different outcome than before. If I think the code will give a new result I'd love to give it a quick test.,Full-time,Computer Science,Statistics,Male
4,4/22/2024 9:05:36,ncsu47,9,9,4,5,Laptop,"Yes, as an internship or co-op",Yes,Yes,Yes,Yes,none,none,none,none,none,The difficulty in performing the code review in this study is that there aren't any comments in the functions detailing what it is supposed to do and I don't have an overview of the flow between the various classes to fully understand how the changes in one file would affect other runs.,The split view in GitHub made it easy to see the changes in the code from the original to the modified version.,I would have been able to perform the code review in this study more effectively if there was a button on GitHub that allowed me to expand the file I was reviewing to see the entire file with the changes on top without having to open a separate window.,Full-time,Computer Science,Economics,Male
5,4/22/2024 9:05:44,ncsu85,8,8,5,6,Laptop,"Yes, as an internship or co-op",No,Yes,Yes,Yes,none,none,none,none,none,Some of the code felt like it had unneccesary changes.,The changes to the code behavior were obvious in some places.,"If I had knowledge of the project, or if I knew what the code was doing.",Full-time,Computer Science,,Male
6,4/22/2024 9:05:59,ncsu59,7,5,4,5,Laptop,No,No,No,No,No,none,none,a few,none,none,"There is always a lot of text in code, and it is always difficult to read everything and think of the different relationships and implications of a code change.",Some of the pull requests were clearly going to cause functionality changes and some where clearly just refactoring.,The easy answer would be if we were given the output or examples of the code actually running. This would clearly show us whether or not the functionality of the code changed.,Full-time,Computer Science,none,Male
7,4/22/2024 9:06:23,ncsu74,7,7,4,3,Laptop,"Yes, as an internship or co-op",Yes,Yes,Yes,Yes,none,none,none,none,none,Not knowing what some of the functions did and how they would be used.,Most of the reviews had fairly simple changes.,If we better understood what the code would be used for.,Full-time,Computer Science,,Male
8,4/22/2024 9:06:42,ncsu91,6,8,4,4,Laptop,"Yes, as an internship or co-op",No,No,No,No,none,none,none,none,none,Figuring out whether the change preserved behavior. Some of the changes seemed meaningless.,Walking through the code and figuring out if values stayed the same.,Working with others.,Full-time,Computer Science,Industrial Engineering,Male
9,4/22/2024 9:06:51,ncsu42,7,5,5,5,Laptop,No,No,No,No,No,none,none,a few,none,none,Doing math at 8 in the morning on Monday right before finals.,If statement comparisons,More coffee,Full-time,Computer Science & Political Science (dual major),,Female
10,4/22/2024 9:06:55,ncsu64,6,3,4,5,Laptop,No,No,No,No,No,a few,none,a few,none,none,"I wasn't entirely sure about all of the math functions, which is when i used online resources to see if the code changed or not (not that I'm sure any of them are right)",I knew how to use github for code review and pull requests!,a more in depth knowledge of the code base / what it's aiming to do / access to testing software to make sure that the tests all passed the same when the code was refactored.,Full-time,Computer Science ,"Mathematics, Statistics",Female
